City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Samarai,100,PG,1638730994,78,-10.6167,150.6667,80.91,6.04
Yanam,7,IN,1638730995,88,16.7333,82.2167,75.6,3.29
Port Blair,2,IN,1638730996,72,11.6667,92.75,78.67,9.64
Lamar,90,US,1638730997,83,33.6668,-95.5836,74.35,18.41
Tezu,100,IN,1638730998,58,27.9167,96.1667,66.33,3.44
Vanderhoof,100,CA,1638731000,44,54.0166,-124.0198,24.96,5.5
Trincomalee,4,LK,1638731001,75,8.5711,81.2335,81.18,5.26
Broome,40,US,1638731002,58,42.2506,-75.833,43.21,1.99
Dingle,50,PH,1638731003,90,10.9995,122.6711,71.51,6.85
Pombia,0,IT,1638731004,82,45.653,8.6336,40.51,2.3
Ilulissat,75,GL,1638730842,51,69.2167,-51.1,33.82,16.11
Ereymentau,100,KZ,1638731006,82,51.6199,73.1033,28.83,9.73
Narsaq,100,GL,1638730841,83,60.9167,-46.05,28.62,6.89
Haines Junction,99,CA,1638731008,99,60.7522,-137.5108,-7.78,1.92
Canutama,100,BR,1638731009,85,-6.5339,-64.3831,82.69,3.18
Paamiut,100,GL,1638731010,66,61.994,-49.6678,26.6,22.03
Princeton,1,US,1638731012,68,25.5384,-80.4089,84,11.5
Dabat,0,ET,1638731013,31,12.9842,37.765,55.99,1.99
Pitimbu,54,BR,1638731014,73,-7.4706,-34.8086,84.79,12.93
Aksarka,42,RU,1638731015,97,66.5606,67.7975,-21.1,12.73
Briançon,67,FR,1638731016,97,44.9,6.65,25.75,3.44
Solnechnyy,100,RU,1638731017,92,50.7214,136.6319,10.06,5.19
Ukiah,1,US,1638731018,60,39.1502,-123.2078,71.44,3.44
Cuamba,94,MZ,1638731019,37,-14.8031,36.5372,80.04,3.65
Lubango,51,AO,1638730808,79,-14.9172,13.4925,61.52,1.97
Vīsāvadar,0,IN,1638731021,55,21.3833,70.6833,71.56,5.5
Lompoc,1,US,1638731023,63,34.6391,-120.4579,77.09,14
Manta,75,EC,1638731024,78,-0.95,-80.7333,80.38,11.5
Apúlia,39,PT,1638731025,84,41.4851,-8.7641,52.3,14.34
Sittwe,6,MM,1638731026,78,20.15,92.9,77.7,4.14
Vila Velha,20,BR,1638730992,79,-20.3297,-40.2925,82.35,7
Padang,99,ID,1638731028,87,-0.9492,100.3543,76.77,2.46
Marmaris,100,TR,1638731029,81,36.855,28.2742,62.11,5.32
Aginskoye,39,RU,1638731030,85,51.1,114.53,13.06,6.13
Petrolina de Goiás,100,BR,1638731032,72,-16.095,-49.3381,86.16,3
Makakilo City,90,US,1638731033,84,21.3469,-158.0858,71.35,0
Leshukonskoye,18,RU,1638731034,96,64.8989,45.7622,6.93,4.18
Vanavara,100,RU,1638731036,96,60.34,102.2797,4.64,3.85
Malaya Serdoba,2,RU,1638731037,66,52.4661,44.9512,27.93,5.61
Mango,40,US,1638731039,57,27.9797,-82.3065,83.05,6.91
Wanning,27,CN,1638731040,74,18.8003,110.3967,63.01,9.26
Wattegama,1,LK,1638731042,96,6.7989,81.4808,74.32,1.45
Nanortalik,78,GL,1638730841,61,60.1432,-45.2371,28.36,25.3
Puerto Palomas,0,MX,1638731044,20,31.7667,-107.6167,65.53,8.43
Mlimba,92,TZ,1638731046,92,-8.8,35.8167,73.9,1.68
Vilhena,100,BR,1638730869,89,-12.7406,-60.1458,77.49,1.36
Le Port,17,RE,1638730864,79,-20.9373,55.2919,78.8,6.8
Arkhara,98,RU,1638731049,99,49.4212,130.0842,11.48,3.4
Bonavista,97,CA,1638731051,59,48.6499,-53.1147,35.11,15.21
Novochernorechenskiy,100,RU,1638731052,94,56.2669,91.0828,24.87,11.68
San Cristobal,49,VE,1638731004,42,7.7669,-72.225,82.58,6.73
Philadelphia,93,US,1638730810,35,39.9523,-75.1638,55.11,1.99
Constitución,3,CL,1638731055,52,-35.3333,-72.4167,70.9,6.13
Cruz do Espírito Santo,75,BR,1638731056,70,-7.14,-35.0864,84.76,12.66
Lādnūn,2,IN,1638731057,66,27.65,74.3833,62.8,1.1
Dumas,1,US,1638731058,20,35.8656,-101.9732,72.75,14.97
Tuatapere,100,NZ,1638731059,81,-46.1333,167.6833,46.81,2.95
Waipawa,100,NZ,1638731061,96,-41.4122,175.5153,53.46,9.24
Kirakira,100,SB,1638731062,84,-10.4544,161.9205,80.17,3.4
Polson,16,US,1638731063,58,47.6936,-114.1632,33.12,10
São João da Barra,4,BR,1638731064,76,-21.6403,-41.0511,77.25,14.79
Arlit,5,NE,1638731065,15,18.7369,7.3853,73.17,9.62
Majene,100,ID,1638731066,86,-3.5403,118.9707,76.84,5.35
Yelovo,98,RU,1638731067,79,57.0538,54.9207,9.88,8.72
Sayyan,0,YE,1638731068,32,15.1718,44.3244,50.63,2.64
Haapiti,38,PF,1638731069,67,-17.5667,-149.8667,83.93,17.13
Cedar City,1,US,1638731070,31,37.6775,-113.0619,56.39,3.44
Ust-Tsilma,77,RU,1638731072,99,65.441,52.1498,3.38,3.24
Bethel,1,US,1638730966,39,41.3712,-73.414,46.99,1.01
Nátaga,87,CO,1638731074,62,2.5436,-75.8085,75.88,2.3
Rabo de Peixe,75,PT,1638731075,96,37.8,-25.5833,64.27,5.75
Lagoa,21,PT,1638731076,74,39.05,-27.9833,63.25,11.5
São Filipe,44,CV,1638731077,71,14.8961,-24.4956,76.37,12.35
Scarborough,36,GB,1638731078,84,54.2797,-0.4044,43.92,1.99
Seminole,20,US,1638731079,64,28.7086,-81.2081,82.15,6.91
Carballo,99,ES,1638731081,89,43.213,-8.691,54.55,5.91
Farmington,1,US,1638731082,36,36.7281,-108.2187,60.21,8.05
Kouroussa,1,GN,1638731083,20,10.65,-9.8833,80.89,2.73
Faanui,84,PF,1638731084,73,-16.4833,-151.75,80.46,17.09
Leer,20,SS,1638731085,27,8.3018,30.1418,83.35,5.59
Xining,2,CN,1638731086,41,36.6167,101.7667,26.83,0.63
Gamboma,100,CG,1638731087,75,-1.8764,15.8644,77.65,3.22
Kokopo,100,PG,1638731088,88,-4.352,152.2633,76.55,2.48
Camocim,20,BR,1638731090,64,-2.9022,-40.8411,87.35,21.39
Ammon,1,US,1638731091,57,43.4696,-111.9666,45.95,3
Katima Mulilo,100,NA,1638731092,77,-17.5,24.2667,70.21,4.56
Lebu,0,CL,1638731093,61,-37.6167,-73.65,65.05,13.58
Taltal,27,CL,1638730891,61,-25.4,-70.4833,68.61,7.29
Kaseda-shirakame,98,JP,1638731095,73,31.4167,130.3167,52.38,7.36
La Palma,90,US,1638730880,92,33.8464,-118.0467,76.1,0
Dalbandin,0,PK,1638731097,40,28.8947,64.4101,53.1,7.43
Hefei,0,CN,1638730810,46,31.8639,117.2808,47.79,2.84
Biak,100,ID,1638731100,86,-0.9131,122.8766,76.48,7.94
Lüderitz,0,NA,1638731102,83,-26.6481,15.1594,62.85,14.74
Lexington,1,US,1638731106,56,37.9887,-84.4777,66.42,3
Anadyr,100,RU,1638731051,85,64.75,177.4833,14,31
Canguçu,96,BR,1638731110,69,-31.395,-52.6756,70.81,9.8
Ruteng,100,ID,1638731111,93,-8.6136,120.4721,62.62,2.24
Zhezkazgan,100,KZ,1638731112,99,47.8043,67.7144,32.74,6.62
Todos Santos,100,MX,1638731114,69,23.45,-110.2167,84,8.95
Sekoma,100,BW,1638731115,70,-24.4,23.8833,71.69,3.09
Niquelândia,95,BR,1638731116,80,-14.4739,-48.4597,78.37,2.57
Wanaka,100,NZ,1638731117,86,-44.7,169.15,45.1,1.99
Gizo Government Station,100,SB,1638731118,78,-8.103,156.8419,81.55,2.01
Saint-Paul,17,RE,1638731120,80,-21.0096,55.2707,78.91,2.68
Woodward,1,US,1638731121,28,36.4337,-99.3904,72.63,8.05
Ust-Maya,100,RU,1638731122,97,60.4167,134.5333,2.44,1.88
Dongsheng,0,CN,1638731123,42,39.8161,109.9776,25.3,14.99
Mpophomeni,100,ZA,1638731124,76,-29.5682,30.1862,64.31,6.04
Eyl,39,SO,1638731125,70,7.9803,49.8164,77.38,18.21
Grand Forks,90,US,1638731126,86,47.9417,-97.4337,26.53,19.57
Kloulklubed,100,PW,1638731128,76,7.0419,134.2556,82.99,6.85
Tilichiki,99,RU,1638731129,95,60.4667,166.1,-1.37,3.02
Osijek,90,HR,1638730883,100,45.5511,18.6939,39.42,5.75
Baykit,100,RU,1638731131,95,61.67,96.37,-1.98,2.75
Emerald,84,AU,1638731132,66,-23.5333,148.1667,71.98,11.63
Provideniya,100,RU,1638731134,97,64.3833,-173.3,30.67,24.74
Kununurra,40,AU,1638731135,94,-15.7667,128.7333,75.18,3.44
Elbistan,1,TR,1638731136,72,38.2059,37.1983,39.7,1.41
Havelock,100,US,1638731137,71,34.8791,-76.9013,67.95,5.01
Rybnoye,64,RU,1638731138,87,54.7256,39.5119,25.25,5.32
Rivadavia,17,AR,1638730941,35,-33.1905,-68.4608,81.57,7.45
Puerto Limón,8,CR,1638731122,68,10,-83.0333,83.03,6.2
Tamiahua,3,MX,1638731142,66,21.2667,-97.45,80.87,10.47
Virginia Beach,0,US,1638730843,71,36.8529,-75.978,60.04,1.99
Yangi Marg`ilon,100,UZ,1638731144,70,40.4272,71.7189,41.72,2.3
Sines Municipality,0,PT,1638731145,77,37.9562,-8.8698,57.29,8.99
Härnösand,100,SE,1638731146,70,62.6323,17.9379,16,9.82
Cravo Norte,89,CO,1638731147,48,6.3017,-70.2041,88.86,8.68
Grindavik,90,IS,1638731148,87,63.8424,-22.4338,43.27,34.52
Imeni Zhelyabova,36,RU,1638731149,99,58.9544,36.5956,-6.48,4.56
Benjamín Hill,0,MX,1638731151,20,30.1667,-111.1,71.44,5.37
Corn Island,1,NI,1638731152,79,12.1694,-83.0418,81.52,17.83
Safi,0,MA,1638731153,78,32.2994,-9.2372,61.32,23.02
Nioro,79,GM,1638731154,15,13.35,-15.75,87.3,7.25
Ingham,90,US,1638731155,63,42.6,-84.3833,37.58,10.36
Mazara del Vallo,100,IT,1638731156,89,37.6641,12.588,52,21.7
Mareeba,4,AU,1638731158,91,-17,145.4333,72.32,3.53
Makīnsk,41,KZ,1638731159,96,52.6292,70.4169,9.93,5.68
Pacifica,75,US,1638731160,82,37.6138,-122.4869,65.71,3
Marawi,100,PH,1638731163,97,7.9986,124.2928,64.65,1.32
Bījār,35,IR,1638731164,31,35.8668,47.6051,37.13,3.74
Mountain Home,1,US,1638731166,61,43.133,-115.6912,47.68,23.02
Salalah,0,OM,1638731167,56,17.0151,54.0924,73.49,4.61
Xudat,42,AZ,1638731168,83,41.631,48.681,48.02,12.26
Luorong,1,CN,1638731169,53,24.4058,109.6086,52.86,4.32
Sharjah city,0,AE,1638731135,62,25.3573,55.4033,75.18,2.3
Tyrma,100,RU,1638731172,98,50.0833,132.1667,6.76,1.81
Garissa,84,KE,1638731173,64,-0.4536,39.6401,81.28,12.82
Ellensburg,1,US,1638731174,61,46.9965,-120.5479,41.13,1.01
Amahai,99,ID,1638731175,83,-3.3333,128.9167,78.75,2.48
Kayes,54,ML,1638731176,11,14,-11,87.1,8.68
Sovetskiy,94,RU,1638730977,99,61.3614,63.5842,-8.25,3.33
Mount Isa,75,AU,1638730903,69,-20.7333,139.5,74.97,6.91
Fort Nelson,8,CA,1638731180,89,58.8053,-122.7002,-7.46,1.81
Severobaykal'sk,100,RU,1638731181,82,55.65,109.3167,17.2,8.59
North Bend,1,US,1638731182,90,43.4065,-124.2243,49.91,8.05
Kibala,74,TD,1638731183,24,9.1104,18.3463,84.56,3.18
San Quintín,0,MX,1638731184,68,30.4833,-115.95,65.21,10.87
Kincardine,7,GB,1638731185,86,56.0667,-3.7167,35.19,1.74
Baley,7,RU,1638731186,94,51.6,116.6333,1.18,5.12
Snåase,9,NO,1638731188,88,64.2457,12.3778,15.21,7.4
Zastron,100,ZA,1638731189,86,-30.3023,27.084,57.06,15.26
Iqaluit,100,CA,1638731020,66,63.7506,-68.5145,9.7,25.01
Port-Cartier,59,CA,1638731191,56,50.0334,-66.8654,20.75,11.36
Ponta do Sol,62,PT,1638731192,71,32.6667,-17.1,66.83,6.8
Esperance,56,AU,1638731193,80,-33.8667,121.9,60.39,9.73
Ubari,0,LY,1638731194,23,26.5921,12.7805,54.1,10.2
Campbell River,99,CA,1638731196,76,50.0163,-125.2446,38.26,3.29
Isla Vista,1,US,1638731197,53,34.4133,-119.861,77.31,5.75
La Sarre,100,CA,1638731198,80,48.8002,-79.1996,12.58,6.67
Shubarkuduk,100,KZ,1638731199,71,49.1447,56.4872,30.24,8.03
Barcelona,20,ES,1638731101,51,41.3888,2.159,51.87,3
Kakuda,9,JP,1638731201,79,37.9667,140.7833,29.79,3.94
Takoradze,97,GH,1638731202,81,4.8845,-1.7554,81.28,10.54
Kiryat Gat,2,IL,1638731204,14,31.61,34.7642,61.39,8.19
Santo Antônio do Içá,75,BR,1638731205,89,-3.1022,-67.9397,82.06,2.28
Ust-Nera,100,RU,1638731206,98,64.5667,143.2,-26.63,5.5
Manavālakurichi,77,IN,1638731207,85,8.1333,77.3,80.69,7.7
Bubaque,98,GW,1638731208,65,11.2833,-15.8333,81.41,10.85
Dubno,98,UA,1638731209,95,50.4169,25.7343,30.88,4.83
Rathdrum,1,US,1638731211,60,47.8137,-116.892,34.74,1.99
Arrondissement du Havre,90,FR,1638731212,81,49.5833,0.3333,46.17,21.85
Oussouye,96,SN,1638731213,45,12.485,-16.5469,78.58,6.26
Pinheiro Machado,88,BR,1638731214,82,-31.5783,-53.3811,72.05,9.69
Beringovskiy,100,RU,1638731215,83,63.05,179.3167,7.48,42.77
Mahébourg,40,MU,1638731216,73,-20.4081,57.7,79.25,8.05
Sørland,100,NO,1638731217,69,67.667,12.6934,28.26,10.54
Kudahuvadhoo,88,MV,1638731219,75,2.6708,72.8944,82.47,17.09
Hazorasp,0,UZ,1638731220,73,41.3194,61.0742,30.04,8.39
Lorengau,53,PG,1638731221,81,-2.0226,147.2712,83.48,14.61
Great Yarmouth,100,GB,1638731223,79,52.6083,1.7305,43.95,21.63
Port Lincoln,0,AU,1638731224,83,-34.7333,135.8667,56.5,3.02
Grasse,0,FR,1638731225,42,43.6667,6.9167,45.19,2.3
Kalianget,100,ID,1638731226,85,-7.05,113.9333,78.6,3.31
La Constancia,100,MX,1638731228,29,24.2231,-107.1869,80.51,4.65
Alofi,79,NU,1638731229,83,-19.0595,-169.9187,78.76,18.66
Ketchikan,90,US,1638731230,86,55.3422,-131.6461,28.87,0
Kaluzhskaya Oblast’,100,RU,1638731231,96,54.5,35.5,26.11,5.23
Cairns,1,AU,1638731232,86,-16.9167,145.7667,76.95,8.05
Dabola,8,GN,1638731233,26,10.75,-11.1167,78.6,1.28
Key Largo,6,US,1638731234,63,25.0865,-80.4473,83.01,5.59
Daru,100,PG,1638731236,85,-9.0763,143.2092,77.72,3.44
Galle,79,LK,1638730946,86,6.0367,80.217,78.64,3.71
Kulhudhuffushi,12,MV,1638731238,79,6.6221,73.07,80.6,6.96
Kuril'sk,81,RU,1638731239,72,45.2333,147.8833,35.69,10.54
Mehamn,85,NO,1638731240,89,71.0357,27.8492,30.38,22.55
Van,75,TR,1638731063,86,38.4924,43.3831,29.55,3.44
Shingū,100,JP,1638731238,88,33.7333,135.9833,51.53,4.41
Galich,47,RU,1638731243,97,58.3797,42.3475,0.36,3.04
Cayenne,75,GF,1638731245,83,4.9333,-52.3333,84.24,1.99
Autazes,62,BR,1638731246,75,-3.5797,-59.1306,85.17,1.23
Vestmanna,75,FO,1638731247,74,62.1564,-7.1664,31.12,3.44
Shimoda,100,JP,1638731248,83,34.6667,138.95,48.11,15.64
Zhigansk,100,RU,1638731249,91,66.7697,123.3711,-27.31,8.08
Lianhe,100,CN,1638731251,87,47.1333,129.2667,27.63,5.48
Paraty,93,BR,1638731252,94,-23.2178,-44.7131,75.36,3.6
Necochea,0,AR,1638730963,55,-38.5473,-58.7368,68.04,13.24
Kerema,82,PG,1638731254,84,-7.9631,145.7785,77,3.67
Kamenka,64,RU,1638731255,69,51.3223,42.7678,21.74,6.49
Wangkui,81,CN,1638731256,91,46.8333,126.5,12.38,6.29
Ouésso,74,CG,1638731257,77,1.6136,16.0517,76.42,2.86
Elmadağ,9,TR,1638731258,70,39.9208,33.2308,43.34,3.91
San Jerónimo,100,PE,1638731260,82,-11.9472,-75.2829,51.69,4.76
Sioux Lookout,100,CA,1638731261,87,50.1001,-91.917,22.23,4.41
Vorontsovka,98,RU,1638731262,68,50.6132,40.3549,28.35,6.04
Qasigiannguit,100,GL,1638731263,62,68.8193,-51.1922,34.05,19.1
Troitskoye,98,RU,1638731264,97,52.9821,84.6757,12.92,4.05
Vangaindrano,1,MG,1638731265,90,-23.35,47.6,75.79,7.92
Chinsali,88,ZM,1638731266,48,-10.5414,32.0816,72.9,4.05
Batamshinskiy,100,KZ,1638731268,85,50.5594,58.2747,22.68,9.46
Rawson,8,AR,1638731002,46,-43.3002,-65.1023,70.66,17.16
Avera,100,US,1638731270,58,33.194,-82.5271,74.08,4.81
Nkoteng,100,CM,1638731271,69,4.5167,12.0333,75.06,3.62
Krasnosel'kup,32,RU,1638731272,100,65.7,82.4667,-36.31,3.2
Berlevåg,43,NO,1638731274,85,70.8578,29.0864,8.4,22.12
Barguzin,76,RU,1638731275,88,53.6167,109.6167,15.58,6.49
San Juan,1,AR,1638731105,32,-31.5375,-68.5364,84.33,4.61
Maha Sarakham,96,TH,1638731277,57,16.3333,103.6667,60.4,8.14
Khasan,2,RU,1638731278,72,42.4308,130.6434,27.14,5.23
Riyadh,5,SA,1638731128,31,24.6877,46.7219,62.74,8.7
Quatre Cocos,28,MU,1638731281,70,-20.2078,57.7625,79.09,12.66
Stokmarknes,0,NO,1638731283,58,68.5646,14.9108,22.98,13.8
Pyaozerskiy,76,RU,1638731284,98,65.8333,31.1667,-3.01,3.6
Kristinestad,6,FI,1638731286,89,62.2743,21.376,4.89,7.96
Luwuk,100,ID,1638731287,88,-0.9516,122.7875,77.79,5.61
Novo Aripuanã,65,BR,1638731288,69,-5.1206,-60.3797,86.7,2.91
Raja,94,SS,1638731289,26,8.4596,25.678,81.54,4.74
Stillwater,1,US,1638731291,38,36.1156,-97.0584,75.78,8.99
Caravelas,0,BR,1638731292,65,-17.7125,-39.2481,80.6,8.03
Wenden,98,DE,1638731293,90,50.9667,7.8667,39.04,3.09
Oruzgan,0,AF,1638731294,63,32.8333,66,37.02,0.81
Sur,0,OM,1638731296,69,22.5667,59.5289,74.17,6.55
Puerto Carreño,43,CO,1638731297,38,6.189,-67.4859,95.76,8.66
Luyang,0,CN,1638731298,69,27.6239,110.0989,48.99,1.48
Tūkrah,30,LY,1638731299,76,32.5341,20.5791,62.92,12.33
Coaticook,92,CA,1638731300,63,45.1334,-71.7991,28.36,7.07
Shitanjing,2,CN,1638731301,35,39.2342,106.3439,29.23,3.89
Orbetello,12,IT,1638731302,72,42.4408,11.2196,48.61,7.27
Esim,50,GH,1638731304,82,4.8699,-2.2405,80.89,8.03
Santa Rosa,53,PH,1638731305,85,14.3122,121.1114,74.08,7.72
Caconda,100,AO,1638731306,86,-13.7333,15.0667,61.32,1.57
Coahuayana Viejo,98,MX,1638731307,52,18.7333,-103.6833,89.08,5.93
Santa Vitória do Palmar,66,BR,1638731308,63,-33.5189,-53.3681,72.27,12.06
Puerto Escondido,1,MX,1638731309,62,15.85,-97.0667,86.83,6.91
Mokhotlong,100,LS,1638731169,62,-29.2894,29.0675,59.49,5.79
Baruun-Urt,1,MN,1638731312,76,46.6806,113.2792,18.77,7.18
Marystown,100,CA,1638731313,100,47.1666,-55.1483,37.85,1.01
Mankono,7,CI,1638731314,32,8.0586,-6.1897,84.02,2.95
Praia,0,CV,1638731315,73,14.9215,-23.5087,75.74,14.97
Uyuni,65,BO,1638731317,38,-20.4597,-66.825,62.98,12.12
Buala,99,SB,1638731318,84,-8.145,159.5921,79.48,5.03
Kisangani,100,CD,1638731319,99,0.5167,25.2,71.02,0.85
Riberalta,100,BO,1638731320,72,-10.9833,-66.1,82.87,3.53
Poso,100,ID,1638731321,83,-1.3959,120.7524,77.7,3.13
Yar-Sale,10,RU,1638731322,94,66.8333,70.8333,-17,13.4
Vynohradove,100,UA,1638731323,82,46.3696,32.9398,38.64,8.14
General Pico,0,AR,1638731324,36,-35.6566,-63.7568,78.39,6.76
Kalmunai,8,LK,1638731326,83,7.4167,81.8167,78.42,1.79
Teguise,20,ES,1638731327,72,29.0605,-13.564,61.02,19.57
Korla,100,CN,1638731328,45,41.7597,86.1469,30.38,3.47
Caxito,100,AO,1638731329,92,-8.5785,13.6643,76.8,1.95
Aswān,5,EG,1638731330,24,24.0934,32.907,64.54,13.44
Kula,1,TR,1638731331,84,38.5473,28.6498,49.5,3.87
Rome,90,US,1638731322,75,43.2128,-75.4557,41.13,6.91
São Sepé,66,BR,1638731333,50,-30.1606,-53.5653,81.3,8.5
